1,"eplusout"

"Date/Time","[1] System Node Setpoint Temperature (C)"
,"AIR LOOP SUPPLY SIDE OUTLET 1"
"2002/6/5 13:00","20.5"
"2002/6/5 13:10","20.5"
"2002/6/5 13:20","20.5"
"2002/6/5 13:30","20.5"
"2002/6/5 13:40","20.5"
"2002/6/5 13:50","20.5"
"2002/6/5 14:00","20.5"
"2002/6/5 14:10","20.5"
"2002/6/5 14:20","20.5"
"2002/6/5 14:30","20.5"
"2002/6/5 14:40","20.5"
"2002/6/5 14:50","20.5"
"2002/6/5 15:00","20.5"
"2002/6/5 15:10","20.5"
"2002/6/5 15:20","20.5"
"2002/6/5 15:30","20.5"
"2002/6/5 15:40","20.5"
"2002/6/5 15:50","20.5"
"2002/6/5 16:00","20.5"
"2002/6/5 16:10","20.5"
"2002/6/5 16:20","20.5"
"2002/6/5 16:30","20.5"
"2002/6/5 16:40","20.5"
"2002/6/5 16:50","20.5"
"2002/6/5 17:00","20.5"
"2002/6/5 17:10","20.5"
"2002/6/5 17:20","20.5"
"2002/6/5 17:30","20.5"
"2002/6/5 17:40","20.5"
"2002/6/5 17:50","20.5"
"2002/6/5 18:00","20.5"
"2002/6/5 18:10","20.5"
"2002/6/5 18:20","20.5"
"2002/6/5 18:30","20.5"
"2002/6/5 18:40","20.5"
"2002/6/5 18:50","20.5"
"2002/6/5 19:00","20.5"
"2002/6/5 19:10","20.5"
"2002/6/5 19:20","20.5"
"2002/6/5 19:30","20.5"
"2002/6/5 19:40","20.5"
"2002/6/5 19:50","20.5"
"2002/6/5 20:00","20.5"
"2002/6/5 20:10","20.5"
"2002/6/5 20:20","20.5"
"2002/6/5 20:30","20.5"
"2002/6/5 20:40","20.5"
"2002/6/5 20:50","20.5"
"2002/6/5 21:00","20.5"
"2002/6/5 21:10","20.5"
"2002/6/5 21:20","20.5"
"2002/6/5 21:30","20.5"
"2002/6/5 21:40","20.5"
"2002/6/5 21:50","20.5"
"2002/6/5 22:00","20.5"
"2002/6/5 22:10","20.5"
"2002/6/5 22:20","20.5"
"2002/6/5 22:30","20.5"
"2002/6/5 22:40","20.5"
"2002/6/5 22:50","20.5"
"2002/6/5 23:00","20.5"
"2002/6/5 23:10","20.5"
"2002/6/5 23:20","20.5"
"2002/6/5 23:30","20.5"
"2002/6/5 23:40","20.5"
"2002/6/5 23:50","20.5"
"2002/6/6 0:00","20.5"
"2002/6/6 0:10","20.5"
"2002/6/6 0:20","20.5"
"2002/6/6 0:30","20.5"
"2002/6/6 0:40","20.5"
"2002/6/6 0:50","20.5"
"2002/6/6 1:00","20.5"
"2002/6/6 1:10","20.5"
"2002/6/6 1:20","20.5"
"2002/6/6 1:30","20.5"
"2002/6/6 1:40","20.5"
"2002/6/6 1:50","20.5"
"2002/6/6 2:00","20.5"
"2002/6/6 2:10","20.5"
"2002/6/6 2:20","20.5"
"2002/6/6 2:30","20.5"
"2002/6/6 2:40","20.5"
"2002/6/6 2:50","20.5"
"2002/6/6 3:00","20.5"
"2002/6/6 3:10","20.5"
"2002/6/6 3:20","20.5"
"2002/6/6 3:30","20.5"
"2002/6/6 3:40","20.5"
"2002/6/6 3:50","20.5"
"2002/6/6 4:00","20.5"
"2002/6/6 4:10","20.5"
"2002/6/6 4:20","20.5"
"2002/6/6 4:30","20.5"
"2002/6/6 4:40","20.5"
"2002/6/6 4:50","20.5"
"2002/6/6 5:00","20.5"
"2002/6/6 5:10","20.5"
"2002/6/6 5:20","20.5"
"2002/6/6 5:30","20.5"
"2002/6/6 5:40","20.5"
"2002/6/6 5:50","20.5"
"2002/6/6 6:00","20.5"
"2002/6/6 6:10","20.5"
"2002/6/6 6:20","20.5"
"2002/6/6 6:30","20.5"
"2002/6/6 6:40","20.5"
"2002/6/6 6:50","20.5"
"2002/6/6 7:00","20.5"
"2002/6/6 7:10","20.5"
"2002/6/6 7:20","20.5"
"2002/6/6 7:30","20.5"
"2002/6/6 7:40","20.5"
"2002/6/6 7:50","20.5"
"2002/6/6 8:00","20.5"
"2002/6/6 8:10","20.5"
"2002/6/6 8:20","20.5"
"2002/6/6 8:30","20.5"
"2002/6/6 8:40","20.5"
"2002/6/6 8:50","20.5"
"2002/6/6 9:00","20.5"
"2002/6/6 9:10","20.5"
"2002/6/6 9:20","20.5"
"2002/6/6 9:30","20.5"
"2002/6/6 9:40","20.5"
"2002/6/6 9:50","20.5"
"2002/6/6 10:00","20.5"
"2002/6/6 10:10","20.5"
"2002/6/6 10:20","20.5"
"2002/6/6 10:30","20.5"
"2002/6/6 10:40","20.5"
"2002/6/6 10:50","20.5"
"2002/6/6 11:00","20.5"
"2002/6/6 11:10","20.5"
"2002/6/6 11:20","20.5"
"2002/6/6 11:30","20.5"
"2002/6/6 11:40","20.5"
"2002/6/6 11:50","20.5"
"2002/6/6 12:00","20.5"
"2002/6/6 12:10","20.5"
"2002/6/6 12:20","20.5"
"2002/6/6 12:30","20.5"
"2002/6/6 12:40","20.5"
"2002/6/6 12:50","20.5"
"2002/6/6 13:00","20.5"
"2002/6/6 13:10","20.5"
"2002/6/6 13:20","20.5"
"2002/6/6 13:30","20.5"
"2002/6/6 13:40","20.5"
"2002/6/6 13:50","20.5"
"2002/6/6 14:00","20.5"
"2002/6/6 14:10","20.5"
"2002/6/6 14:20","20.5"
"2002/6/6 14:30","20.5"
"2002/6/6 14:40","20.5"
"2002/6/6 14:50","20.5"
"2002/6/6 15:00","20.5"
"2002/6/6 15:10","20.5"
"2002/6/6 15:20","20.5"
